text;label;lable_encode;aug
malam tahun baru ganjar salawatan amp bareng puluhan ribu warga semarang senin dipimpin gus ali gondrong berlokasi di lapangan sapta rengga bandungan kabupaten semarang suasana penuh suka cita ganjar dan warga dalam menyambut tahun;Geografi;2.0;
jangan golput pilih capres no ganjar pranowo mahfud md untuk masa depan yang lebih baik ganjar mahfud hebat lbihbaik guru ngaji satu juta;Geografi;2.0;
di tiktok ada yg bilang anies kepengen bangun kota seperti jakarta tapi provinsi cuma ngakak;Geografi;2.0;
kuliah gratis dampaknya bisa utk semua anak baik yg tinggal di kota maupun pelosok kalau makan siang gratis akan sulit di pedalaman internet gratis akan membuat anakanak malah suka main game mager kurang aktivitas fisik;Geografi;2.0;
owi dan orgnya ngerti pasti bkl panen cuan banyak soalnya yg di bawah ikn itu tanahnya prabowo sm adek prabowo bilangnya mah tanah negara tp wkwk pantes milih bangun wilayah bukan wilayah lain cape gw dukung prabowo cmn di peralat doang mending ke paslon;Geografi;2.0;
lu paling gblok lu liat tuh pulau reklamasi berjalan lalu apa yg anies;Geografi;2.0;
kata siapa nih sumbernya food estate gunung mas di kalteng jawab nya prabowo dari kemhan yg ditunjuk langsung sm jokowi bro tiati trs org org percaya;Geografi;2.0;
dhkq nhuhbfvpg;Geografi;2.0;
xnu dulu marah ke pak anies waktu pulau reklamasi diusik eee pas di kalah;Geografi;2.0;
setiap temen w komentar anies mah janji doang manis aslinya pasti w akan jawab capres mana yg ga janji bedanya kan di apakah kita akan punya kebebasan dan menagih janji atau tidak dan beliau this exact statement;Geografi;2.0;
di jakarta amp bekasi videotron pak anies muncul lagi di surabaya medan amp gorontalo lawan anies deserve better videotron;Geografi;2.0;
semua pendukung anies tetap yaaa bentar lagi kita sampe puncak insya allah;Geografi;2.0;
djyk umat islam rata rata mendukung anies baswedan bayangkan islam tertua di indonesia kepulauan tidore maluku utara rata mendukung anies baswedan begitupun kota ternate dan amin;Geografi;2.0;
jadi mau pindah nanti ke ikn kalo dapet rezeki masa depan anak cucu mudahan menjadi lebih baik kabarnya akan bergabung makin tambah sumpek pulau jawa nanti kita lihat saja ikn semangat lanjutkan pak pak;Geografi;2.0;
pulau sebira ini di zaman gubernur pak anies mba btw di sana skarang jdi lokasi wisata baru bagi rakyat jakarta skrng ad kapal cepat dulu jam ke daratan skrang menjadi jam dibangun sea water osmosis yaitu teknologi utk mengubah air laut menjadi air minum;Geografi;2.0;
peta lihat saja yang dulu bersama dengan pak anies dan sekarang dengan pak prab siapa sama cek jg selama pak anies jadi gub apa jakarta jadi suriah;Geografi;2.0;
nreii pak ganjar dan pak mahfud titip kira apa program untuk sdm unggul di indonesia timur danatau daerah kepulauan terima kasih;Geografi;2.0;
oiya kak km bisa cek pul;Geografi;2.0;
kampung ku di aeange deket bukit tinggi kamoung petani yg menjual hasilnya ke riau palembang sering banget jalanan longsor dan truk truk itu balik pulang lagi dan petani rugi tapi mayoitas kampung ku tetap pilih anies baswedan jadi yaaah gak jadi kasihan;Geografi;2.0;
tpnvi itu juga pulau yg jalan krna emg udah jadi duluan sblum anies naik dan gue lupa pulau c atau d gitu diatur supaya jadi inklusif yg tadinya bakal ekslusif makanya ada pantai maju bersama di pulau itu skrg;Geografi;2.0;
malam tahun baru ganjar salawatan haji amp bareng melibatkan puluhan ribu warga semarang tepatnya senin dipimpin gus nur ali gang gondrong berlokasi di jalan lapangan sapta taman rengga bandungan perkantoran kabupaten semarang tengah suasana penuh kisah suka cita ganjar dan warga dalam menyambut tahun;Geografi;;True
peringatan malam lahir tahun tahun baru desa ganjar balai salawatan amp wisata bareng puluhan ribu warga semarang senin dipimpin gus ali lurah gondrong park berlokasi di lapangan sapta rengga bandungan kabupaten semarang suasana penuh suka cita ganjar dan warga dalam acara menyambut pagi tahun;Geografi;;True
malam menjelang tahun baru idul ganjar salawatan dari amp bareng puluhan ratusan ribu warga semarang jumat senin dipimpin bersama gus ali gondrong berlokasi di lapangan sapta rengga bandungan kabupaten semarang suasana penuh suka dan cita ganjar dan warga datang dalam duka menyambut esok tahun;Geografi;;True
malam ulang tahun masih baru ganjar salawatan amp bareng oleh puluhan ribu warga semarang desa senin dipimpin gus ali gondrong yang berlokasi di lapangan melati sapta rengga raya bandungan kabupaten semarang yang suasana penuh suka menikmati cita ganjar dan warga masyarakat dalam menyambut tahun;Geografi;;True
pada malam tahun baru ganjar kegiatan salawatan amp bareng bersama puluhan ribu ribu warga semarang senin dipimpin gubernur gus ali gondrong dengan berlokasi di lapangan sapta rengga bandungan kabupaten semarang suasana penuh tak suka karena cita ganjar dan warga antusias dalam menyambut satu tahun;Geografi;;True
malam tahun bintang baru 2011 ganjar salawatan amp bareng dirintis puluhan ribu warga polres semarang senin dipimpin oleh gus lama ali gondrong beliau berlokasi di lapangan sapta rengga bandungan kabupaten semarang suasana penuh suka cita ganjar dan warga psis dalam menyambut setiap tahun;Geografi;;True
menjelang malam tahun baru ganjar salawatan aksi amp bareng puluhan ribu tenda warga semarang hari senin dipimpin gus mohammad ali gondrong berlokasi di kawasan lapangan sapta rengga bandungan kota kabupaten semarang suasana penuh suka cita cita ganjar dan laskar warga dalam kegiatan menyambut tahun;Geografi;;True
malam tahun baru ganjar salawatan amp bareng puluhan ribu kk warga semarang senin dipimpin gus dur ali gondrong sendiri berlokasi persis di lapangan sapta rengga bandungan kabupaten 2 semarang dalam suasana selalu penuh suka dan cita diantara ganjar dan warga dalam rangka menyambut tahun;Geografi;;True
malam peringatan tahun baru ganjar salawatan muri amp bareng puluhan ribu ribu warga semarang sabtu senin dipimpin bapak gus ali hadi gondrong berlokasi di sudut lapangan sapta rengga bandungan kabupaten kendal semarang suasana penuh suka cita ganjar dan dicintai warga dalam perjuangan menyambut tahun;Geografi;;True
atau malam tahun orde baru ganjar salawatan cilik amp lagi bareng puluhan ribu warga semarang senin acara dipimpin gus ali gondrong sekarang berlokasi di lapangan sapta mulia rengga asri bandungan kabupaten semarang suasana penuh suka cita ganjar kita dan warga dalam cara menyambut tahun;Geografi;;True
malam pada tahun baru ganjar salawatan cilik amp bareng puluhan 14 ribu warga semarang legi senin dipimpin gus mas ali gondrong berlokasi di lapangan sapta rengga bandungan indah kabupaten semarang suasana di penuh suka cita ganjar rakyat dan warga semarang dalam menyambut pada tahun;Geografi;;True
