text;label;lable_encode;aug
prabowo minta kemenhan dan tim satgas air unhan kaji bantuan air di sukabumi dekade prabowo gibran;Pertahanan dan Keamanan;4.0;
ganjar md persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan mahfud mnang jnk apri;Pertahanan dan Keamanan;4.0;
calon presiden capres nomor urut anies baswedan zcje sudah siap dengan debat ketiga debat ketiga akan tema soal keamanan hubungan dan download di app store play store pemilu;Pertahanan dan Keamanan;4.0;
anies sosok ayah yang penuh pak mmg sosok ayah yg penuh lihat dlm tayangan video ini tangannya lentur banget anak kecil tampak luwes ngga kaku dan ngga buatbuat pasti jg sering merasakan gendongan pelukan dan pelukan beliau kekuatan sejati adalah di pelukan ayah;Pertahanan dan Keamanan;4.0;
according to prabowo gaza is opressed because they dont have a military power this is such a tonedeaf statement coming from a minister of defense;Pertahanan dan Keamanan;4.0;
viral anies baswedan dapat ancaman tim hukum amin siap tempuh jalur hukum;Pertahanan dan Keamanan;4.0;
data yang manaaaaa data lahan pak prabowo itu bagian dari rahasia index dan peringkat yang dibaca pak ganjar juga itu rahasia astagaaaa;Pertahanan dan Keamanan;4.0;
ganjar pranowo dengan tindakan dalam menjaga keamanan nasional dengan mendukung cyber force coblos;Pertahanan dan Keamanan;4.0;
bukan cuma dalam debat semalam pak tidak mau bukaan imformasi tp di rdp dgn komisi i dpr pun beliau menolak rapat terbuka dan bertahan spy rapat tertutup apalagi ngadepin capres sok tau ga mungkin dibuka;Pertahanan dan Keamanan;4.0;
kita penjaga yakni tni al yang kuat untuk merah putih dan negara kata menhan prabowo;Pertahanan dan Keamanan;4.0;
kinerja pak prabowo bukan hanya fokus pada alutsista tapi beliau juga dinilai telah mendorong industri dalam negeri loh;Pertahanan dan Keamanan;4.0;
budi arie bela prabowo sebut data bersifat rahasia;Pertahanan dan Keamanan;4.0;
momen capres nomor urut ganjar pranowo besuk korban oleh oknum tni di boyolali tak hanya bertanya kondisi juga bertanya kronologi kejadian hingga relawan itu dipukuli ia pun meminta aparat keamanan termasuk institusi tni menangani kejadian ini lbihbaik;Pertahanan dan Keamanan;4.0;
palestina di tindas karena gk punya kekuatan militer palestina lemah sy ksh buku ini mau biar anda paham vatikan gk punya kekuatan militer tp ada yg berani tindas gk analogi bukan kekuatan militer pak palestina gk lemah dan gk pernah lemah mereka oleh sistem kampret yang di mana pbb sampai skrg diam terjadi genosida ham berat yang berani nuntut mereka di den haag hanya afrika selatan;Pertahanan dan Keamanan;4.0;
orang penembak relawan prabowo dibekuk polda jatim satu di antaranya kepala desa;Pertahanan dan Keamanan;4.0;
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan berkuasa asal bukan prabowo;Pertahanan dan Keamanan;4.0;
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan berkuasa asal bukan prabowo;Pertahanan dan Keamanan;4.0;
saya yakin pak ganjar sudah punya informasi soal mamat gunshop kenapa tidak dibuka di publik karena mamat gunshop terlalu riskan untuk menjadi global mengenai sistem kita saya rasa sih seperti itu pak ganjar malam ini andalan;Pertahanan dan Keamanan;4.0;
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan berkuasa asal bukan prabowo;Pertahanan dan Keamanan;4.0;
bulan januari ini serangan dari kubu korahww dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan berkuasa asal bukan prabowo;Pertahanan dan Keamanan;4.0;
momen capresku jenguk relawan yang jadi korban oknum tni korban slamet andono bercerita kepada dirinya diseret dari jalan raya dan dibawa masuk ke markas batalyon kemudian di situ dipukuli oknum tni miris;Pertahanan dan Keamanan;4.0;
al fatihah buat alm lambang babar purnomo alumnus arkeologi ugm yang diduga dibunuh saat jadi saksi kasus pencurian dan pemalsuan arca museum radya pustaka yang hashim adik prabowo;Pertahanan dan Keamanan;4.0;
garda samudra bukan cuma program tapi komitmen mereka buat jaga keamanan laut dan bangun kekuatan militer laut kita coblos;Pertahanan dan Keamanan;4.0;
pengancam anies sudah ditangkap bareskrim polri telah warga yg melakukan kepada capres anies baswedan ya benar sudah ditangkap kata karo penmas divisi humas polri brigjen pol trunoyudo wisnu andiko;Pertahanan dan Keamanan;4.0;
waduh apa lagi nih di kodam xiii moga bukan boyolali kemarin buat yang pawai mbok ya jangan knalpot breng breng di lokasi sensitif dah gak musim pawai massa skr musimnya adu gagasan spt desak anies;Pertahanan dan Keamanan;4.0;
