text;label;lable_encode;aug
trending on twitter x anies bubble meroket fenomena fans kpop join amin isme;Sosial Budaya;6.0;
abah anies ingin martabat petani agar tidak terus menerus menerima bansos karena cukup;Sosial Budaya;6.0;
anies sesuai selera sumatera barat;Sosial Budaya;6.0;
pak aniess post has reached likes and on dialog capres w kadin tvonenews youtube in days hour minutes it is the fastest and highest post to reach k likes and m likes among capress members anies;Sosial Budaya;6.0;
ini kejam warga disitu sudah bersedia dibangun jis dgn janji anies utk memabngun rumah susun bagi mereka stlh rumah itu terbangun mrk ga diberikan haknya padahal anies selaku gubernur sll menepati janjinya kampung akuarium kampung kunir dll apa yg salah rakyat mendapat rmh;Sosial Budaya;6.0;
abah anies ingin martabat petani agar tidak terus menerus menerima bansos karena cukup;Sosial Budaya;6.0;
;Sosial Budaya;6.0;
video dibawah diambil tahun dan bukti rembug ganjar sdh dilakukan sejak lama dan rutin dilakukan bukti ganjar selalu untuk mencari solusi atas persoalan yang mereka hadapi hapus kredit macet dengan sebagai subjek dalam maka kebijakan yang akan diambil akan sesuai dengan persoalan yang dihadapi rakyat kecil tidak seperti makan siang gratis program yg keluar dari para elit bkn dari rakyat kecil solusi pemutihan kredit macet atau utang nelayan atau petani merupakan hasil dari karena kebijakan itu akan efek bagi rakyat sehingga dengan rakyat menjadi subjek bukan objek dalam dan kebijakan;Sosial Budaya;6.0;
gue amp bener merinding dengan fenomena pendukung anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di x macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang;Sosial Budaya;6.0;
orang papua berharap pak anies jadi presiden;Sosial Budaya;6.0;
tak banyak yang sadar anies peragakan gerakan dalam attack on titan saat tutup debat pilpres ketiga setelah itulah momen anies gerakan dalam anime attack on titan ia tangan kanannya dan ke dada sedangkan tangan kirinya mengambil gerakan ke belakang seperti gerakan istirahat di tempat biasanya gerakan itu dilakukan para pasukan dalam anime attack on titan saat hendak berperang melawan musuh dalam bahasa jepang gerakan itu selalu disertai teriakan shinzou wo sasageyo yang berarti hatimu secara harfiah dalam konteks attack on titan itu berarti seluruh pasukan siap mati demi kebebasan;Sosial Budaya;6.0;
abah anies ingin martabat petani agar tidak terus menerus menerima bansos karena cukup;Sosial Budaya;6.0;
kami ada dan nyata karangan bunga dari para relawan pak ganjar mahfud untuk rekannya yang kemarin jadi korban oknum aparat;Sosial Budaya;6.0;
masalah anies dan ganjar kedua paslon adalah warga negara indonesia keduanya berhak meminta data dari menteri aktif tentang kinerja selama tahun data yang mereka research sendiri sudah dipapar;Sosial Budaya;6.0;
desak anies dengan para nakes siang ini soal stunting di mulai dari masa kehamilan jakarta kamis januari;Sosial Budaya;6.0;
abah anies ingin martabat petani agar tidak terus menerus menerima bansos karena cukup;Sosial Budaya;6.0;
anak muda humanies berdonasi membuat video tron membuat food truck membuat web anies amp cak imin kini gerakan perubahan itu semakin pengusaha rumah makan padang prmp se bogor akan suplai makanan bagi para pejuang perubahan di setiap tps;Sosial Budaya;6.0;
apa yg prabowo blg tentang gaza cuma tunjukin dia tuh tone deaf and its really dia ga peduli tentang genosida samsek masa sih dia lupa kalau palestine under selama thn lebih military illegal dll kacau deh;Sosial Budaya;6.0;
desak anies ambon di pinggir pantai baby indah beach terasa spesial banyak aspirasi yang muncul tentang bagaimana wilayah timur indonesia dengan berbagai;Sosial Budaya;6.0;
abah anies ingin martabat petani agar tidak terus menerus menerima bansos karena cukup;Sosial Budaya;6.0;
kita ingin kehidupan dan lebih baik kami tidak ingin ada lagi antara umum dan pesantren semua harus samasama mendapat karena samasama anak indonesia tegas anies;Sosial Budaya;6.0;
rakyat yang mengalami masalah bisa minta tolong kepada negara untuk pengacara dari negara jangan takut lagi amin aja dulu anies deserve better videotron;Sosial Budaya;6.0;
juru bicara tpn aryo seno bagaskoro dalam konteks relasi global indonesia tidak boleh hanya maju tetapi harus unggul lain itu bisa tercapai apabila kita konsisten dan serius dalam mencapai indonesia emas dengan momentum bonus demografi kata aryo menurut juru bicara tpn aryo seno bagaskoro seluruh logika itu harus pada kepastian dan penegakan hukum yang tegas rekrutmen dan duta besar harus agar hubungan indonesia dengan lain semakin produktif juga rasa bagi para diaspora menurut juru bicara tpn aryo seno bagaskoro kebijakan pro aparat penegak hukum juga harus maka beasiswa khusus untuk anakanak polisi dan tentara untuk beban agar para prajurit dan polisi kita dapat fokus bertugas sesuai;Sosial Budaya;6.0;
dukungan terhadap kegiatan seni dan budaya perhatian prabowo terhadap identitas nasional;Sosial Budaya;6.0;
pak anies telah perubahan positif dalam berbagai sektor seperti dan;Sosial Budaya;6.0;
respect warga diberi bertanya di acara desak anies;Sosial Budaya;6.0;
di tengah ladang tebu cilacap sampai kelapa petani melihat pak anies sebagai pelindung mereka;Sosial Budaya;6.0;
pesan dari putra papua kepada anies baswedan pak aku titipkan masa depan papua kepada bapak;Sosial Budaya;6.0;
mantan ketua komnas ham apresiasi polri buka rekrutmen bagi mantan ketua komisi nasional hak asasi manusia ham muhammad choirul anam langkah kapolri jenderal polisi drs listyo sigit prabowo m si untuk merekrut sebagai anggota polri pada tahun ini ia menilai kebijakan kapolri untuk bagi merupakan langkah yang baik dalam sisi ham lebih lanjut hal ini merupakan wujud komitmen polri dalam hak asasi manusia yang dapat dicontoh oleh lainnya sebagai informasi polri membuka proses rekrutmen bagi pada jalur sekolah inspektur polisi sumber sarjana sipss dan bintara polri ta sesuai dengan kriteria yang telah kami apresiasi kapolri dengan kebijakan langkah afirmatif terhadap apalagi kebaikan tersebut ada sifat yaitu menempati mereka sesuai dengan karakter tutur mantan ketua komnas ham kamis;Sosial Budaya;6.0;
kapolri jendral listyo sigit prabowo perayaan dan ibadah natal kemudian bisa kita lihat secara lengkap video tersebut dimana pesan pesan bapak kapolri terkait dengan persatuan dan kesatuan dalam kemudian juga terkait cooling system;Sosial Budaya;6.0;
salut dengan ubah bareng yang sigap berpindah lokasi dalam waktu satu malam demi desak anies edisi di dan kami bangga dengan yang hadir di desak anies mereka adalah anakanak muda yang memiliki semangat perubahan antusias soal untuk perubahan indonesia ke depan adalagi yang mau undang kami untuk kebebasan berbicara jogja;Sosial Budaya;6.0;
politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to pak anies for having this kind of to children;Sosial Budaya;6.0;
gua dukung anies tpi gua jga ttp kritik anies yg bikin bangunan kaya perpus tim dan halte tj yg desain brunya ga ramah buat lg musim ujan bgni sorry ye;Sosial Budaya;6.0;
