text;label;lable_encode;aug
kunjungan prabowo ini untuk dan proyek bantuan air bersih di lima titik prabowo subianto;Sumber Daya Alam;7.0;
saat prabowo subianto tentang kenaikan air saat hujan adi bahwa situasi memang demikian dan kesulitan air bersih sebagai masalah utama;Sumber Daya Alam;7.0;
anies berjanji akan membangun jalan produksi untuk sentra produksi pertanian dengan pasar di jawa barat;Sumber Daya Alam;7.0;
calon wakil presiden nomor urut mahfud md bahwa laju atau hutan indonesia saat ini merupakan yang tertinggi di dunia prabowo subianto;Sumber Daya Alam;7.0;
peta komoditas yang dimiliki ganjar jadi jendela kekayaan alam yang dimiliki indonesia jnk;Sumber Daya Alam;7.0;
salah nya anies dibangun jis besaran didukung jkw dananya jis ditempat yg degradasi penurunan lahannya tinggi jkt utara banjir rob sama spt pantura klu kapasitas rb sj masih wajar jis salah roadma;Sumber Daya Alam;7.0;
setelah jis kini anies janji bangun stadion standar fifa di sumatera barat pastikan bukan pakai rumput kw;Sumber Daya Alam;7.0;
melalui ganjar mahfud rakyat dapat yakin bahwa sumbr daya alam akan menjadi pilar utama untuk bersama ganjar pranowo terbukti lebih baik coblos;Sumber Daya Alam;7.0;
menarik melihat pertemuan antara anies baswedan dan mantan menteri hidup dan kehutanan emil salim diskusi tentang upaya dan pasti memiliki nilai be;Sumber Daya Alam;7.0;
untuk petani untuk masa depan yang lebih baik paslon capres ganjar pranowo kuota pupuk untuk pertanian yang lebih maju jnk;Sumber Daya Alam;7.0;
ganjar pranowo mahfud md pro petani amp nelayan selain utk menghapus kredit macet para petani amp nelayan kecil jg akan pelatihan memberi serta alat bantu tangkap atau subsidi solar untuk para nelayan;Sumber Daya Alam;7.0;
saat prabowo subianto tentang kenaikan air saat hujan adi bahwa situasi memang demikian dan kesulitan air bersih sebagai masalah utama;Sumber Daya Alam;7.0;
nah betul kata pak ganjar food estate ko malah merusak dan ekosistem alam;Sumber Daya Alam;7.0;
pak anies pasti akan beri perhatian besar pada pertanian;Sumber Daya Alam;7.0;
ganjar gratiskan petani rembang senang;Sumber Daya Alam;7.0;
untuk petani paslon capres ganjar pranowo aspirasi kalian kuota pupuk akan untuk mendukung pertanian kita jnk;Sumber Daya Alam;7.0;
kayaknya sih iya prabowo konsultan pertanian asal israel untuk menggarap proyek food estate;Sumber Daya Alam;7.0;
